iter	Accuracy	Logloss
0	0.7502265177	0.6673326458
1	0.7808819088	0.6458129846
2	0.7817879795	0.6291477013
3	0.7861673211	0.6080687467
4	0.7876774388	0.5915303585
5	0.7905466626	0.5777395648
6	0.7887345213	0.564361404
7	0.7914527333	0.5518009892
8	0.7917547569	0.5427839016
9	0.7932648747	0.5350845456
10	0.7931138629	0.5268137112
11	0.7946239807	0.5194303733
12	0.7967381456	0.5118186296
13	0.796436122	0.5068572815
14	0.7987012987	0.5002527481
15	0.7980972516	0.4940626291
16	0.7985502869	0.4900919803
17	0.7996073694	0.4868478988
18	0.8021745696	0.4820067361
19	0.8017215343	0.477810967
20	0.8018725461	0.4740084421
21	0.8027786167	0.4705875867
22	0.8033826638	0.4660306247
23	0.8035336756	0.462912746
24	0.8033826638	0.4597844974
25	0.8027786167	0.4569846343
26	0.8033826638	0.4547788571
27	0.803986711	0.452199581
28	0.8041377227	0.4496394938
29	0.8036846874	0.4473489712
30	0.8038356992	0.4455498004
31	0.8048927816	0.4434354859
32	0.8050437934	0.4414983619
33	0.8059498641	0.4400733773
34	0.8070069465	0.4388447988
35	0.8076109937	0.4374019968
36	0.8077620054	0.4358847393
37	0.8086680761	0.4348565619
38	0.8085170643	0.4329319488
39	0.8082150408	0.4320858702
40	0.8088190879	0.4301165693
41	0.8088190879	0.4289707849
42	0.8082150408	0.4282435037
43	0.8086680761	0.4271576705
44	0.8089700997	0.4259598496
45	0.8089700997	0.4244279185
46	0.8088190879	0.4236362719
47	0.8085170643	0.4228394175
48	0.8092721232	0.4218371801
49	0.8092721232	0.4211198154
50	0.8097251586	0.4196094779
51	0.8100271821	0.4187961439
52	0.8101781939	0.4180487632
53	0.8104802175	0.4174360842
54	0.8103292057	0.4166291673
55	0.8106312292	0.4158091734
56	0.8101781939	0.4149727437
57	0.8104802175	0.4141897022
58	0.8098761703	0.4137238367
59	0.8103292057	0.4129684671
60	0.8101781939	0.4121294182
61	0.810782241	0.4114673133
62	0.8104802175	0.4109095731
63	0.8113862881	0.4104330704
64	0.8118393235	0.4095704647
65	0.8116883117	0.4090484657
66	0.8122923588	0.4085286257
67	0.8112352764	0.4078398898
68	0.8113862881	0.4073530333
69	0.8115372999	0.4066046609
70	0.8119903352	0.4058980406
71	0.8116883117	0.4056003283
72	0.8118393235	0.4052941221
73	0.8119903352	0.4051291307
74	0.8118393235	0.4046077478
75	0.8112352764	0.4040304799
76	0.8116883117	0.4035645
77	0.8124433706	0.4028685506
78	0.8122923588	0.4023188591
79	0.812141347	0.4017821126
80	0.8122923588	0.401742545
81	0.8124433706	0.4013040679
82	0.8125943824	0.4009550009
83	0.8128964059	0.4006340284
84	0.8128964059	0.4005143685
85	0.8131984295	0.4000355582
86	0.8130474177	0.3999732738
87	0.8130474177	0.3997132582
88	0.8133494413	0.3990282312
89	0.8125943824	0.3986206932
90	0.8133494413	0.3981026262
91	0.8133494413	0.3978606993
92	0.8138024766	0.3976063804
93	0.813500453	0.3974145135
94	0.8141045002	0.3970748794
95	0.8144065237	0.3965928214
96	0.8142555119	0.3961585736
97	0.8151615826	0.3957549035
98	0.8147085473	0.3954581495
99	0.814859559	0.3950066961
100	0.8150105708	0.3946120486
101	0.8156146179	0.3943376542
102	0.8156146179	0.394161521
103	0.8165206886	0.3939697866
104	0.8165206886	0.3938250489
105	0.8160676533	0.3937031548
106	0.8168227122	0.3934039476
107	0.8174267593	0.3927712132
108	0.8175777711	0.3922334904
109	0.8180308064	0.3919227996
110	0.8181818182	0.3917681047
111	0.8181818182	0.391713847
112	0.8192389006	0.391386494
113	0.8193899124	0.3912435216
114	0.8192389006	0.3908872102
115	0.8184838417	0.3906419967
116	0.8181818182	0.390425292
117	0.81833283	0.3902260139
118	0.8181818182	0.3897899287
119	0.8177287828	0.389538648
120	0.8178797946	0.3893677825
121	0.8180308064	0.3892282399
122	0.81833283	0.3890549371
123	0.8180308064	0.3889256284
124	0.8181818182	0.3885226633
125	0.8177287828	0.3883281679
126	0.8178797946	0.3881577845
127	0.8177287828	0.3877872209
128	0.8177287828	0.3875381546
129	0.8180308064	0.3874141459
130	0.8184838417	0.3871773394
131	0.8181818182	0.3870761621
132	0.8184838417	0.3867836437
133	0.8184838417	0.3866173145
134	0.8190878889	0.3865229632
135	0.8190878889	0.3862933838
136	0.8186348535	0.386093458
137	0.8189368771	0.3858276324
138	0.8195409242	0.3854848043
139	0.8187858653	0.3853854644
140	0.8187858653	0.3851737526
141	0.8190878889	0.3849641207
142	0.8190878889	0.3847391741
143	0.8190878889	0.3845405647
144	0.8195409242	0.3843993402
145	0.8193899124	0.384204261
146	0.8193899124	0.3841655743
147	0.8190878889	0.3841129955
148	0.8198429477	0.3839029166
149	0.8198429477	0.3837569221
150	0.8195409242	0.3835752404
151	0.8193899124	0.3833816937
152	0.8193899124	0.3830955313
153	0.819691936	0.3830386384
154	0.8198429477	0.3829288803
155	0.8198429477	0.3827028144
156	0.8198429477	0.3827021654
157	0.8202959831	0.3823447045
158	0.8199939595	0.382130482
159	0.8204469949	0.3820108529
160	0.8204469949	0.3815645423
161	0.8202959831	0.3814456317
162	0.8201449713	0.3813772573
163	0.8198429477	0.3812119935
164	0.8198429477	0.3812114451
165	0.8199939595	0.3810830504
166	0.8199939595	0.3810004832
167	0.8213530655	0.3807979029
168	0.8212020538	0.3805399057
169	0.8212020538	0.3803635129
170	0.821051042	0.3802642892
171	0.8212020538	0.379942531
172	0.8209000302	0.3797134344
173	0.821051042	0.3794983824
174	0.8218061009	0.379243242
175	0.8216550891	0.3790060309
176	0.8219571127	0.3789198267
177	0.8225611598	0.3784097301
178	0.8227121715	0.3781240322
179	0.8227121715	0.377956447
180	0.8230141951	0.3775650174
181	0.8227121715	0.3773768793
182	0.8227121715	0.3772569533
183	0.8225611598	0.3770453951
184	0.8225611598	0.3769920552
185	0.8227121715	0.376641822
186	0.8228631833	0.3766113445
187	0.8231652069	0.3762889047
188	0.8233162187	0.3759007421
189	0.823769254	0.3756887923
190	0.8239202658	0.3755611692
191	0.8236182422	0.3752825824
192	0.8246753247	0.3750342527
193	0.8248263365	0.374963059
194	0.8245243129	0.3747890778
195	0.8240712776	0.3746312509
196	0.8243733011	0.3743858598
197	0.8242222893	0.3742180324
198	0.8240712776	0.3740324884
199	0.8243733011	0.3738463088
200	0.8245243129	0.3735847247
201	0.8243733011	0.3733000803
202	0.8246753247	0.3732765932
203	0.8245243129	0.3730973369
204	0.8246753247	0.372783827
205	0.8249773482	0.3723818668
206	0.82512836	0.3722893714
207	0.82512836	0.3722174439
208	0.8254303836	0.3720147472
209	0.8254303836	0.3719389931
210	0.8254303836	0.3717129806
211	0.8252793718	0.3714599431
212	0.8252793718	0.3713390334
213	0.8260344307	0.3711645369
214	0.8257324071	0.3711025147
215	0.8260344307	0.37078509
216	0.8263364542	0.3705464669
217	0.8270915131	0.3703864892
218	0.8269405014	0.3702586142
219	0.8266384778	0.3701199998
220	0.8269405014	0.369984447
221	0.8267894896	0.3697545356
222	0.8261854425	0.3693401534
223	0.8261854425	0.3693317154
224	0.8261854425	0.3693127892
225	0.8260344307	0.3692019983
226	0.8260344307	0.3691891052
227	0.8270915131	0.3689361092
228	0.8273935367	0.3687083058
229	0.8273935367	0.3685306978
230	0.8275445485	0.3685194792
231	0.8275445485	0.3685147788
232	0.8279975838	0.3683165332
233	0.8272425249	0.367899882
234	0.8273935367	0.3677218948
235	0.8273935367	0.3674849759
236	0.8275445485	0.3673346878
237	0.8273935367	0.3670486398
238	0.8273935367	0.3670430838
239	0.8279975838	0.3667236882
240	0.827846572	0.3665885435
241	0.827846572	0.3665876699
242	0.8279975838	0.3664054304
243	0.8279975838	0.3660281083
244	0.8282996074	0.3658569899
245	0.8293566898	0.36535149
246	0.829205678	0.3651527675
247	0.8289036545	0.3649956
248	0.8307157958	0.364728405
249	0.8305647841	0.3646026933
250	0.8302627605	0.3644287276
251	0.8301117487	0.364194767
252	0.8301117487	0.3641937951
253	0.8299607369	0.363823508
254	0.8299607369	0.3637993223
255	0.8304137723	0.3637767999
256	0.8304137723	0.3637715774
257	0.8301117487	0.3636055164
258	0.8301117487	0.3636025335
259	0.8301117487	0.3635783774
260	0.8304137723	0.3633707715
261	0.8301117487	0.3632468447
262	0.8310178194	0.3630795984
263	0.8310178194	0.3627470716
264	0.8313198429	0.3624718241
265	0.8310178194	0.3624195974
266	0.8311688312	0.3622933986
267	0.8311688312	0.3622856872
268	0.8311688312	0.3622852515
269	0.8311688312	0.3621097043
270	0.8311688312	0.3618625025
271	0.8313198429	0.3616663671
272	0.8313198429	0.361662092
273	0.8313198429	0.3616588532
274	0.8313198429	0.3616583806
275	0.8313198429	0.361379447
276	0.8313198429	0.3608844098
277	0.8313198429	0.3606916198
278	0.8319238901	0.3604063281
279	0.8323769254	0.3599514628
280	0.8325279372	0.3599219253
281	0.832678949	0.3597380596
282	0.832678949	0.3594565467
283	0.8331319843	0.3592703327
284	0.8334340079	0.3590891084
285	0.8329809725	0.3588584814
286	0.8328299607	0.3586749169
287	0.8334340079	0.3584354463
288	0.8334340079	0.3582837204
289	0.8331319843	0.3579357641
290	0.8329809725	0.3578391992
291	0.8328299607	0.3577807821
292	0.8328299607	0.3577465198
293	0.8329809725	0.3576806842
294	0.8332829961	0.357550171
295	0.8331319843	0.357277817
296	0.8334340079	0.3571534041
297	0.8334340079	0.3570590101
298	0.8334340079	0.3569825345
299	0.834038055	0.3565434502
300	0.8341890667	0.3562683045
301	0.834038055	0.3561587569
302	0.8341890667	0.3558801407
303	0.8343400785	0.3555783755
304	0.8347931139	0.3553663419
305	0.8349441256	0.3551552809
306	0.8349441256	0.3548036597
307	0.8347931139	0.3547936755
308	0.8349441256	0.3546376843
309	0.8347931139	0.3544930373
