iter	Passed	Remaining
0	21	21392
1	41	20773
2	67	22342
3	89	22302
4	111	22154
5	131	21825
6	153	21817
7	173	21568
8	193	21358
9	214	21245
10	233	20985
11	254	20958
12	274	20878
13	294	20770
14	315	20691
15	334	20565
16	352	20357
17	373	20381
18	394	20392
19	416	20421
20	453	21134
21	495	22039
22	518	22015
23	540	21966
24	560	21872
25	581	21785
26	603	21740
27	624	21686
28	646	21648
29	667	21576
30	687	21498
31	708	21444
32	730	21403
33	751	21352
34	772	21289
35	793	21257
36	815	21213
37	837	21207
38	862	21250
39	886	21274
40	908	21240
41	930	21225
42	952	21204
43	972	21121
44	995	21132
45	1021	21185
46	1046	21221
47	1071	21243
48	1096	21279
49	1121	21317
50	1144	21300
51	1168	21304
52	1193	21329
53	1219	21362
54	1247	21429
55	1270	21418
56	1293	21393
57	1315	21360
58	1337	21334
59	1360	21310
60	1381	21273
61	1403	21228
62	1424	21183
63	1446	21147
64	1466	21097
65	1487	21046
66	1508	21006
67	1533	21017
68	1557	21013
69	1582	21023
70	1606	21013
71	1629	20996
72	1654	21009
73	1678	21005
74	1702	21001
75	1727	20998
76	1751	20999
77	1776	21000
78	1801	20998
79	1825	20990
80	1834	20810
81	1858	20804
82	1881	20785
83	1903	20753
84	1920	20675
85	1953	20761
86	1963	20601
87	1986	20588
88	2010	20581
89	2035	20577
90	2061	20590
91	2084	20575
92	2106	20541
93	2129	20522
94	2152	20501
95	2175	20483
96	2197	20453
97	2220	20440
98	2245	20438
99	2269	20424
100	2293	20415
101	2315	20386
102	2324	20246
103	2351	20260
104	2372	20225
105	2393	20186
106	2413	20143
107	2435	20114
108	2456	20083
109	2478	20056
110	2500	20023
111	2513	19925
112	2533	19886
113	2548	19806
114	2568	19767
115	2590	19739
116	2611	19711
117	2632	19674
118	2655	19660
119	2679	19647
120	2701	19628
121	2722	19595
122	2743	19560
123	2762	19515
124	2783	19486
125	2805	19459
126	2826	19428
127	2848	19403
128	2868	19365
129	2888	19330
130	2908	19290
131	2926	19242
132	2947	19211
133	2968	19181
134	2987	19144
135	3008	19113
136	3030	19086
137	3050	19053
138	3070	19017
139	3091	18991
140	3113	18970
141	3136	18952
142	3157	18920
143	3177	18890
144	3198	18861
145	3217	18818
146	3239	18799
147	3258	18756
148	3277	18718
149	3294	18668
150	3314	18636
151	3336	18614
152	3356	18579
153	3376	18548
154	3395	18509
155	3415	18480
156	3425	18391
157	3447	18370
158	3470	18355
159	3492	18337
160	3514	18314
161	3536	18295
162	3559	18276
163	3584	18272
164	3594	18189
165	3615	18166
166	3627	18094
167	3647	18061
168	3669	18043
169	3691	18021
170	3712	17999
171	3735	17981
172	3757	17961
173	3778	17938
174	3800	17918
175	3823	17898
176	3846	17885
177	3867	17862
178	3888	17834
179	3907	17799
180	3926	17768
181	3947	17743
182	3969	17722
183	3989	17693
184	4011	17670
185	4032	17649
186	4053	17621
187	4075	17602
188	4095	17571
189	4117	17551
190	4138	17528
191	4161	17512
192	4183	17492
193	4203	17465
194	4225	17445
195	4246	17421
196	4267	17394
197	4287	17367
198	4309	17347
199	4333	17332
200	4353	17307
201	4375	17286
202	4394	17253
203	4414	17225
204	4449	17254
205	4470	17232
206	4492	17212
207	4515	17195
208	4536	17170
209	4563	17168
210	4605	17222
211	4627	17199
212	4649	17178
213	4670	17153
214	4690	17126
215	4712	17105
216	4734	17085
217	4756	17061
218	4777	17038
219	4799	17014
220	4820	16992
221	4841	16968
222	4862	16942
223	4883	16916
224	4903	16889
225	4924	16864
226	4946	16843
227	4967	16819
228	4988	16796
229	5009	16770
230	5031	16751
231	5052	16724
232	5075	16706
233	5098	16689
234	5122	16674
235	5144	16654
236	5172	16650
237	5195	16633
238	5217	16612
239	5240	16595
240	5263	16576
241	5283	16548
242	5305	16529
243	5327	16508
244	5350	16489
245	5374	16472
246	5397	16455
247	5421	16438
248	5445	16424
249	5467	16402
250	5489	16381
251	5511	16360
252	5533	16337
253	5557	16321
254	5580	16304
255	5601	16279
256	5622	16255
257	5648	16243
258	5668	16218
259	5690	16195
260	5726	16213
261	5750	16196
262	5772	16176
263	5794	16153
264	5815	16129
265	5837	16107
266	5858	16083
267	5878	16056
268	5896	16024
269	5917	15998
270	5937	15971
271	5957	15944
272	5975	15913
273	5994	15883
274	6013	15853
275	6034	15829
276	6054	15802
277	6074	15777
278	6098	15758
279	6120	15738
280	6141	15714
281	6163	15693
282	6185	15671
283	6205	15644
284	6227	15623
285	6248	15598
286	6268	15572
287	6289	15548
288	6313	15531
289	6335	15510
290	6357	15489
291	6378	15464
292	6399	15441
293	6420	15416
294	6440	15392
295	6461	15368
296	6482	15343
297	6504	15321
298	6524	15297
299	6544	15271
300	6566	15250
301	6585	15221
302	6605	15194
303	6626	15171
304	6647	15147
305	6669	15127
306	6691	15104
307	6710	15077
308	6732	15055
309	6753	15031
310	6773	15005
311	6795	14984
312	6816	14961
313	6836	14936
314	6858	14913
315	6879	14891
316	6901	14869
317	6922	14847
318	6943	14823
319	6963	14797
320	6983	14771
321	7004	14748
322	7026	14726
323	7048	14705
324	7069	14682
325	7092	14663
326	7114	14642
327	7135	14620
328	7156	14595
329	7178	14573
330	7199	14550
331	7221	14529
332	7242	14506
333	7261	14479
334	7282	14456
335	7301	14428
336	7323	14407
337	7344	14384
338	7365	14361
339	7385	14337
340	7407	14315
341	7429	14294
342	7451	14273
343	7472	14250
344	7493	14226
345	7514	14204
346	7535	14180
347	7553	14152
348	7575	14130
349	7596	14108
350	7618	14086
351	7641	14067
352	7663	14045
353	7684	14023
354	7705	14000
355	7726	13977
356	7746	13953
357	7768	13930
358	7790	13910
359	7812	13888
360	7833	13865
361	7853	13841
362	7874	13818
363	7893	13791
364	7912	13765
365	7933	13742
366	7954	13720
367	7976	13699
368	7999	13679
369	8021	13658
370	8043	13636
371	8064	13614
372	8086	13592
373	8110	13575
374	8133	13555
375	8157	13537
376	8178	13515
377	8199	13492
378	8219	13467
379	8240	13445
380	8259	13419
381	8277	13391
382	8298	13369
383	8318	13343
384	8340	13323
385	8362	13301
386	8383	13278
387	8403	13255
388	8424	13231
389	8444	13207
390	8465	13185
391	8486	13162
392	8509	13142
393	8528	13116
394	8549	13094
395	8570	13071
396	8592	13051
397	8611	13024
398	8631	13001
399	8653	12980
400	8673	12956
401	8693	12931
402	8715	12911
403	8737	12889
404	8757	12865
405	8778	12842
406	8799	12820
407	8820	12798
408	8842	12777
409	8863	12755
410	8884	12732
411	8905	12709
412	8926	12686
413	8948	12666
414	8971	12646
415	8993	12625
416	9015	12603
417	9035	12581
418	9057	12560
419	9078	12537
420	9102	12518
421	9123	12496
422	9144	12473
423	9167	12454
424	9187	12429
425	9206	12405
426	9226	12380
427	9245	12356
428	9266	12333
429	9286	12310
430	9307	12288
431	9329	12266
432	9349	12243
433	9370	12221
434	9391	12197
435	9412	12175
436	9433	12153
437	9454	12130
438	9476	12110
439	9497	12087
440	9519	12066
441	9540	12043
442	9560	12021
443	9581	11997
444	9603	11976
445	9624	11954
446	9644	11932
447	9663	11906
448	9688	11888
449	9708	11865
450	9734	11849
451	9760	11833
452	9784	11814
453	9803	11789
454	9823	11767
455	9844	11744
456	9865	11721
457	9886	11699
458	9909	11679
459	9932	11659
460	9955	11639
461	9976	11617
462	10000	11598
